#rank	DIAMOnD_node	p_hyper
1	PF4	2.339552718835751e-08
2	CXCL6	8.596774207659022e-08
3	CCL8	7.04987637487828e-10
4	XCL2	3.2332107222653133e-09
5	CXCL12	6.025872972225123e-10
6	CXCL17	1.1550709048028583e-11
7	CXCL10	1.6294976393999025e-13
8	CCL26	2.980262533796918e-15
9	CCL13	1.9873047108656936e-17
10	CCL28	2.8678238812345653e-19
11	XCL1	9.428744655010116e-19
12	CXCL11	3.8441777037647045e-19
13	CCL21	3.478066403936748e-21
14	CXCL14	1.938011215357949e-22
15	CXCL9	5.307764477684655e-22
16	PPBP	6.825960817240768e-23
17	PF4V1	5.480248095655648e-17
18	CCL25	8.488828910962923e-13
19	CCL24	6.74981918088091e-12
20	CCL20	8.014628622376432e-12
21	VCAN	5.542533165126497e-12
22	CXCL5	5.293692354207187e-10
23	CXCL3	3.587274988606463e-10
24	CCL17	6.960022059463568e-10
25	CXCL1	4.048348808428116e-08
26	CCL7	8.204673556929436e-08
27	CXCR3	8.59142220021177e-08
28	CCL27	9.729954648068075e-08
29	COL2A1	7.967443768600757e-07
30	THBS1	5.695671298159712e-06
31	COL4A1	2.0703119713975792e-07
32	BGN	1.9800273684433845e-08
33	COL18A1	1.9853982529006675e-07
34	COL6A1	6.515926800578787e-07
35	COLGALT2	8.826500120416004e-07
36	C1QTNF1	1.147328463307258e-07
37	COL4A2	7.1006245887962e-09
38	LAIR2	4.2081535128294245e-09
39	COL5A1	7.709580650089267e-10
40	MAG	1.5347967483832498e-08
41	COL1A1	3.3113581382938176e-09
42	COL8A2	7.973871876001936e-08
43	COL12A1	3.07465425091334e-09
44	C1QTNF9	3.961210829706457e-08
45	COL6A2	1.1295279198656473e-08
46	COL9A1	1.208191015787563e-09
47	C1QC	5.798306006639806e-09
48	COL14A1	1.2637380354197324e-09
49	C1QTNF9B	3.953448133120214e-10
50	PLOD3	1.5753268159137715e-09
51	COL21A1	3.402802763946025e-10
52	PLOD1	7.297301302056508e-11
53	COL4A6	1.8262439034440836e-10
54	COLQ	3.192850622811489e-10
55	C1QTNF2	2.7100788955783766e-09
56	COLEC12	1.48768125121594e-07
57	COL13A1	2.7405741368180386e-07
58	DCN	3.996522673987045e-07
59	PLOD2	8.833791457036786e-07
60	COLEC11	7.229663090079508e-08
61	COLEC10	1.01735023897042e-07
62	LEPREL2	1.0989437260387126e-06
63	C1QB	7.59913403410743e-07
64	P3H4	2.309578470299378e-07
65	VHL	1.8281074482027543e-06
66	COLGALT1	4.955490180125238e-07
67	SPARC	6.474371553211351e-07
68	COL23A1	1.2961224196943958e-06
69	OS9	1.4019017423685163e-06
70	PRELP	1.3829535665347173e-06
71	SCARA3	2.560123547371829e-06
72	TMEM106B	1.3002837294702227e-06
73	LYZL1	1.5581709398388314e-06
74	DNAJB9	1.1389181307477384e-06
75	LYZL2	2.0970510690833765e-06
76	C1QL4	6.979688093996797e-07
77	PDIA4	2.066250445072098e-06
78	NCR3	1.8079628813387868e-07
79	GALNT18	2.501685763372289e-07
80	IL5RA	2.911028414530257e-07
81	METRNL	1.3080614063858072e-07
82	PRG2	1.3374322383057467e-07
83	LAMA5	3.3641223153822624e-08
84	LAMC1	1.5457196288570722e-08
85	CFC1	2.715863698009541e-09
86	GUSB	2.198288208797369e-09
87	LY86	1.190405007938097e-09
88	PCSK6	2.043778809843774e-10
89	SDF2L1	1.912847095417173e-10
90	BMP1	1.2969310215607191e-11
91	CBLN4	1.6378724767411636e-11
92	TTC17	2.965361925128808e-12
93	GGH	4.426393120918237e-12
94	ART5	1.6875831040176655e-13
95	NAGLU	4.047058232638584e-13
96	TTC13	8.662142186580166e-13
97	FIBIN	2.7355240065907756e-13
98	OLFM2	2.3733396803531734e-13
99	MFAP4	2.6731610011892905e-14
100	GALNS	4.642971816529846e-15
