#rank	DIAMOnD_node	p_hyper
1	THBS1	2.0532331846226272e-08
2	COL2A1	2.037690955428561e-09
3	COL4A1	3.16906272409607e-08
4	CXCL12	4.1335340188366206e-08
5	PF4	3.053217095495311e-08
6	CXCL6	1.7348800620523302e-09
7	XCL2	3.863099341506089e-09
8	CCL28	1.6076777525591789e-10
9	CXCL17	1.4197131362363565e-11
10	CXCL10	2.0681810527627285e-13
11	CCL26	4.045178636550558e-15
12	CCL13	2.6849894895905602e-17
13	CCL8	2.1255346976243407e-19
14	XCL1	1.3078169217852e-18
15	CXCL11	5.297347060365623e-19
16	CCL21	5.107847325466098e-21
17	CXCL14	2.927153598561131e-22
18	CXCL9	8.53114299266079e-22
19	PPBP	9.849090504575277e-23
20	PF4V1	7.123287343489537e-17
21	CCL25	1.0030076120501731e-12
22	CCL24	7.730086216695263e-12
23	CCL20	9.412478821408991e-12
24	VCAN	6.852167396378949e-12
25	CXCL5	6.176952439529114e-10
26	CXCL3	4.0708102058800914e-10
27	CCL17	7.880690032086261e-10
28	CXCL1	4.569733622236736e-08
29	CCL7	9.02800542738596e-08
30	CXCR3	9.440734383091554e-08
31	CCL27	1.0428968864041602e-07
32	CXCL8	4.840692002963314e-07
33	MAG	9.120365950945687e-07
34	COL5A1	2.466693196797199e-08
35	BGN	1.6561006466055188e-06
36	COL6A1	7.033164889629636e-07
37	C1QTNF1	1.1544530773824792e-07
38	COL18A1	1.2317903692541702e-08
39	LAIR2	4.241646720275548e-09
40	COL4A2	8.230199904911525e-09
41	COL9A1	9.113690695465278e-10
42	COLGALT2	1.9268299453593816e-09
43	COL8A2	2.0466945840830212e-09
44	COL1A1	3.982571699447926e-09
45	C1QC	4.928860677876375e-09
46	COL6A2	4.553816533432358e-10
47	COLQ	1.12130018967434e-08
48	PLOD3	1.746403452447916e-08
49	COL12A1	4.27257455173097e-09
50	PLOD1	5.688456144846322e-10
51	COL4A6	1.5605671124483424e-10
52	COL21A1	3.403333427185716e-10
53	COL14A1	7.176651180625607e-11
54	C1QTNF9	3.163168640094647e-11
55	C1QTNF9B	1.4665641701887284e-11
56	C1QTNF2	2.724949772910848e-09
57	COLEC12	1.4956758959870128e-07
58	COL13A1	2.7502281351199703e-07
59	SCARA3	1.3185083512222704e-06
60	FBXO2	1.467902209198024e-06
61	COL7A1	1.920864265120875e-06
62	ITGAV	3.41105218815181e-06
63	TGM2	6.620082336303285e-07
64	VHL	1.5223105578996177e-06
65	COLGALT1	4.378180853906463e-07
66	PLOD2	1.2423635163601645e-07
67	C1QB	4.992925530322484e-08
68	COLEC11	9.505753012719168e-08
69	SPARC	6.821266766560464e-07
70	COL23A1	1.3422857154601136e-06
71	LEPREL2	1.6611127880393452e-06
72	C1QA	1.1882906911655668e-07
73	ADIPOQ	3.5551081591512463e-07
74	DCN	7.102475131157326e-07
75	PRELP	1.6073182198574008e-06
76	OS9	2.1178524375969145e-06
77	P3H4	4.2499892178311977e-07
78	COLEC10	1.8548573161057838e-07
79	TMEM106B	3.1071139010048163e-07
80	LYZL1	2.175845625912132e-06
81	DNAJB9	1.7041583747633888e-06
82	LYZL2	1.891785302040637e-07
83	LAMA5	4.789862554512452e-07
84	NCR3	2.462046639842475e-07
85	C1QL4	5.879718176831135e-08
86	PRG2	1.7293051027881148e-07
87	BMP1	5.3537815732479943e-08
88	IL5RA	3.633507622916913e-08
89	METRNL	7.90895176968281e-09
90	POGLUT1	1.0738091047730569e-08
91	LY86	1.577796993550281e-09
92	LAMC1	1.7203110834116505e-09
93	CFC1	3.147491762878596e-10
94	GUSB	1.479855596498671e-10
95	NAGLU	2.4534688684639675e-10
96	SDF2L1	4.1569340060083775e-11
97	PCSK6	1.0859471889802306e-11
98	GGH	6.900205380359805e-12
99	LAMB3	3.6106112488190987e-12
100	TTC17	5.328849056732552e-12
