#rank	DIAMOnD_node	p_hyper
1	SDC1	3.194274075944384e-06
2	CCL5	1.0749864201007213e-06
3	PF4	1.7178735171558573e-06
4	CXCL12	3.841111269674023e-08
5	CCL13	7.272424224908028e-09
6	CCL26	1.592212913762188e-09
7	CXCL17	1.0917833762328538e-11
8	CXCL10	1.5257987751500196e-13
9	CCL28	8.3186719912835e-15
10	XCL1	1.2525093615931755e-16
11	CXCL14	1.8378783015547876e-16
12	CCL21	4.669448658198706e-17
13	CXCL11	3.479590326182793e-19
14	CXCL9	2.311607700307107e-20
15	CXCL2	2.6232844223508994e-19
16	CCL8	2.7500513797372097e-19
17	PPBP	1.4260599446877173e-20
18	XCL2	2.723463229164161e-20
19	PF4V1	5.694084099524885e-17
20	CXCL6	1.0959371665449723e-14
21	CCL25	9.370160275680554e-13
22	CCL24	7.3118746026301e-12
23	CCL20	8.810780279459315e-12
24	VCAN	6.280232697526181e-12
25	CXCL5	5.794738428042758e-10
26	CXCL3	3.862515337709134e-10
27	CCL17	7.482917294085696e-10
28	CXCL1	4.3438534072875525e-08
29	CCL7	8.673455349918511e-08
30	CXCR3	9.074608466088083e-08
31	CCL27	1.012813589315637e-07
32	CXCL13	5.762315366427154e-06
33	ACKR4	3.733815834422756e-06
34	SDC2	4.928951215348652e-05
35	S100A13	2.2756576178850555e-05
36	REG3A	2.5343360577213556e-05
37	COL14A1	6.875550332964713e-05
38	ACKR1	7.61922076165995e-05
39	CD44	0.00010077005506527336
40	FGFR2	0.0001240869703317276
41	FGF5	2.7360663803529264e-06
42	SDC4	2.9652161428531858e-05
43	GMEB1	2.7579021014324183e-05
44	GMEB2	4.201897776024869e-06
45	METTL8	8.270463043118915e-05
46	DHRS2	0.0001365473762310526
47	THBS1	0.0001748276859845047
48	COL4A1	1.6939934254174164e-05
49	BGN	2.741966030173914e-06
50	COL18A1	5.418832975054821e-07
51	C1QTNF1	6.444144106053078e-06
52	COL4A2	4.775091421640381e-07
53	LAIR2	3.0553227122779944e-07
54	COL2A1	7.311459406334099e-08
55	COLGALT2	4.6077453432494896e-09
56	COL6A1	8.748983778925097e-09
57	COL8A2	4.650383633241641e-09
58	COL5A1	2.3063164476676684e-09
59	C1QC	1.6532169260593242e-10
60	MAG	3.7995920042083305e-10
61	COL9A1	2.1540280997082047e-09
62	COL6A2	1.4681473534720473e-09
63	C1QTNF9	2.512609728592566e-09
64	COL12A1	2.7006462265831106e-10
65	C1QTNF9B	1.0271005158851933e-09
66	C1QTNF2	4.9391269342293115e-09
67	PLOD3	6.0279199961362365e-09
68	COL21A1	6.400672328627134e-10
69	COLQ	6.783737700427351e-10
70	PLOD1	4.849119087521121e-10
71	COL4A6	4.030914817959812e-10
72	COL1A1	2.9322083825991173e-08
73	PDGFB	1.1125228596729955e-07
74	COLEC12	3.5557256924770605e-07
75	COL13A1	4.55279510437336e-07
76	VHL	7.935402548579036e-07
77	PLOD2	2.5534699413294714e-07
78	C1QB	9.024827605515567e-08
79	COLEC11	1.3868548806698972e-07
80	LEPREL2	1.6352873332263534e-07
81	COLEC10	2.0090795381502328e-07
82	P3H4	5.217373582379525e-07
83	SPARC	1.198412656782477e-06
84	COLGALT1	1.353960352754042e-06
85	TGM2	3.337564594563624e-07
86	COL23A1	2.073527990546844e-06
87	COL7A1	4.020101970105781e-06
88	C1QA	4.6434501078717215e-06
89	DCN	1.1624799152123067e-06
90	ITGAV	1.5897198399650878e-06
91	SCARA3	5.990248515849351e-06
92	C1QTNF8	7.884641100253213e-06
93	COL11A1	1.0336197512078479e-05
94	COL9A3	1.6642737679181653e-05
95	C1QL4	2.1711968757332623e-05
96	NCR3	4.958468406059794e-06
97	LYZL2	5.2473781943121895e-06
98	DNAJB9	4.494052972678976e-06
99	COL10A1	7.861497993936197e-06
100	C1QL1	5.296574522659671e-07
