#rank	DIAMOnD_node	p_hyper
1	PF4	2.2260257025734646e-08
2	CXCL12	4.2620045638284286e-10
3	CXCL6	1.313092956475498e-09
4	CCL8	7.26168893800558e-10
5	XCL2	2.2845404578853955e-11
6	CXCL17	1.0877325080712264e-11
7	CXCL10	1.5191947913847245e-13
8	CCL26	2.7242758302740883e-15
9	CCL13	1.8151025301790748e-17
10	CCL28	2.5917164892320114e-19
11	XCL1	8.521755128348022e-19
12	CXCL11	3.4742042508723693e-19
13	CCL21	3.081043709433235e-21
14	CXCL14	1.6997129132899812e-22
15	CXCL9	4.569975518082011e-22
16	PPBP	6.053496129455803e-23
17	PF4V1	5.0085421908800024e-17
18	CCL25	7.993451745381328e-13
19	CCL24	6.419456301062263e-12
20	CCL20	7.547714653569129e-12
21	VCAN	5.120263346468427e-12
22	CXCL5	4.987050805216953e-10
23	CXCL3	3.41308360257256e-10
24	CCL17	6.622318071863591e-10
25	CXCL1	3.853440895567879e-08
26	CXCR3	7.886640396694034e-08
27	CCL27	9.127338218746302e-08
28	THBS1	4.736008340222816e-06
29	COL2A1	7.58642546441793e-07
30	CXCL13	5.559165034584708e-06
31	ACKR4	3.6033340263675397e-06
32	CCR3	8.869885197901777e-06
33	CCL7	1.0770423803828118e-07
34	COL4A1	1.0241333898088419e-05
35	BGN	1.657453721652739e-06
36	COL18A1	2.308546148400467e-07
37	COL4A2	5.899631829280429e-06
38	COLGALT2	1.0008545632828224e-06
39	C1QTNF1	1.3031327358319766e-07
40	COL6A1	5.2355239865190966e-08
41	LAIR2	4.8704394652547575e-09
42	COL5A1	4.0015139817734567e-08
43	COL8A2	2.0481448955539355e-09
44	COL12A1	3.111647289869256e-09
45	C1QC	4.9424331618225315e-09
46	COL6A2	1.143929733727962e-08
47	C1QTNF9	1.013571447915488e-09
48	COL14A1	1.178845287368407e-09
49	C1QTNF9B	3.714446933361714e-10
50	COL9A1	1.3978382515520035e-09
51	MAG	2.5105469230653387e-10
52	PLOD3	1.7588968126870446e-09
53	COLQ	2.8601429251109096e-10
54	COL21A1	3.7404435343422764e-10
55	PLOD1	1.0366485350973516e-09
56	COL4A6	2.0429518732000464e-10
57	C1QTNF2	2.931320534689477e-09
58	COL1A1	1.1907389489167078e-08
59	PDGFA	6.1013565707012e-09
60	COL3A1	1.3264206056070045e-09
61	COL13A1	3.0472839152114273e-07
62	PLOD2	1.0300129208655075e-06
63	COLEC11	7.917583403272873e-08
64	COLEC10	1.1129086943372513e-07
65	C1QB	8.149564080847922e-07
66	LEPREL2	7.805427386938004e-08
67	P3H4	2.612803921885274e-07
68	VHL	4.0430660968940105e-07
69	COLGALT1	5.778759405082591e-07
70	TGM2	1.1991446534949132e-07
71	SPARC	7.528829024285313e-07
72	COL23A1	1.4348230308504604e-06
73	C1QA	2.626760098719543e-06
74	ITGAV	6.640064995784486e-07
75	DCN	7.423015316356518e-07
76	COL7A1	3.040524847512036e-06
77	C1QTNF8	5.397262578483993e-06
78	COL11A1	7.098640994214654e-06
79	COLEC12	7.999506111335927e-06
80	SCARA3	3.8199302473686565e-06
81	NCR3	2.4720801750884004e-06
82	C1QL4	9.015171756762883e-07
83	PRG2	9.969089086923512e-07
84	COL10A1	5.02580570429584e-06
85	C1QL1	3.096625621175745e-07
86	CRTAP	1.320892429450958e-06
87	P3H1	9.388063027496971e-07
88	COL8A1	6.258018530069519e-07
89	TMEM106B	6.875073731214198e-07
90	OS9	5.044881059021768e-06
91	LAMA5	7.207523891216242e-07
92	IL5RA	5.513909176838626e-07
93	VWA1	8.673936670880941e-07
94	MYOC	1.265383331363188e-06
95	LY86	1.3759134724370245e-06
96	METRNL	2.48014489189131e-07
97	LYZL1	4.708118421085277e-07
98	METRN	7.365640565000626e-08
99	GUSB	8.420813278502582e-08
100	SDF2L1	3.1247034434198955e-08
