#rank	DIAMOnD_node	p_hyper
1	SDC1	8.821990871286124e-08
2	SDC2	1.9928426953901357e-07
3	CXCL12	2.0753121024618578e-06
4	CCL11	1.4021319019202654e-06
5	PF4	2.4785202406494584e-08
6	CXCL11	1.1282407808773723e-08
7	XCL1	2.0002770971251918e-10
8	CXCL10	2.3413559296787246e-11
9	CCL13	5.076795403520643e-13
10	CCL28	7.539061977771517e-15
11	CXCL14	1.4017308160711815e-16
12	CCL26	2.5580562839193403e-17
13	CCL21	2.998200620438541e-19
14	CXCL17	2.202002161330922e-21
15	CXCL9	1.960600395916071e-20
16	PPBP	1.8816047654246782e-18
17	CCL8	2.4538461749595954e-19
18	XCL2	6.651034540944259e-18
19	CCL2	6.391515642257864e-20
20	PF4V1	5.059550308799088e-17
21	CCL25	8.005838405903809e-13
22	CXCL6	1.007919701866037e-12
23	CCL24	6.8227151417188476e-12
24	CCL20	8.106752819482581e-12
25	VCAN	3.453137853772559e-10
26	CCL17	6.194089655947464e-10
27	CXCL5	4.591004932360868e-08
28	CXCL3	3.811927421950086e-10
29	CXCL1	4.044309367897981e-08
30	CXCR3	8.181990432627865e-08
31	CCL27	9.368966358058932e-08
32	MMP9	3.524808537523241e-07
33	THBS1	5.302660272575055e-06
34	COL2A1	8.339361174519737e-07
35	BGN	1.4406044338703436e-06
36	COL4A1	2.161311926899613e-07
37	MMP2	1.3880647199645686e-07
38	CCL7	1.1544440854836238e-07
39	MAG	1.0186525933292986e-06
40	COL5A1	2.9067564396995147e-08
41	COL6A1	7.865931809492873e-07
42	C1QTNF1	1.2709637737531972e-07
43	COL18A1	1.3986151237461237e-08
44	LAIR2	4.731913472382627e-09
45	COLGALT2	1.8639530722027664e-09
46	COL1A1	3.524501841608231e-09
47	COL8A2	8.29714812566328e-08
48	COL12A1	3.216831838238501e-09
49	COL4A2	1.1893914115108533e-08
50	COL9A1	1.1853916908633622e-09
51	C1QC	5.663936795951243e-09
52	COL6A2	5.593938903803035e-10
53	C1QTNF9	1.1832506603504765e-09
54	COL14A1	5.794439473749007e-11
55	C1QTNF9B	4.4061616383405046e-10
56	PLOD3	1.8218587275091068e-09
57	COLQ	2.924386993190984e-10
58	COL21A1	3.795322383739565e-10
59	PLOD1	1.0083633607318242e-10
60	COL4A6	2.0809708365340854e-10
61	C1QTNF2	3.001798756673142e-09
62	COLEC12	1.6248713660779385e-07
63	COL13A1	2.883846050986406e-07
64	DCN	4.2519371906437784e-07
65	PLOD2	9.843880829685513e-07
66	COLEC11	7.694749596054206e-08
67	C1QB	7.433223799805222e-07
68	VHL	2.772714661597272e-07
69	COLGALT1	4.5591419671599635e-07
70	TGM2	9.027405741646351e-08
71	SPARC	6.395860753252342e-07
72	COL23A1	1.2838417927148891e-06
73	LEPREL2	1.5428437133905418e-06
74	C1QA	1.1018227673619067e-07
75	SCARA3	2.5218942625025943e-06
76	COL7A1	2.7322556757027658e-06
77	FBXO2	4.718569419755399e-06
78	ITGAV	6.762883565925256e-07
79	PRELP	1.6384875828090288e-06
80	OS9	2.1959291905318497e-06
81	P3H4	4.36230730671035e-07
82	COLEC10	1.888261016184773e-07
83	TMEM106B	3.248339487094031e-07
84	LYZL1	2.2383369298024047e-06
85	DNAJB9	1.7635903624484374e-06
86	LYZL2	1.9463694237239383e-07
87	HSPA5	7.571643733352053e-07
88	C1QTNF3	3.6566205530572595e-07
89	TMEM25	6.969885655025653e-07
90	LAMA5	5.740319682437893e-07
91	INSL5	2.2010851070837966e-07
92	CNTNAP3	2.747928028837632e-07
93	IL5RA	3.9851868683700606e-08
94	CRP	5.521405175691871e-08
95	PTPRK	7.345948753409518e-08
96	LY86	1.689840843390713e-08
97	LAMB2	1.4317775340020377e-09
98	NID2	3.6152092693577773e-10
99	CERCAM	1.8020549326191246e-09
100	TAZ	1.9605648668413843e-10
