#rank	DIAMOnD_node	p_hyper
1	PF4	1.947140403974122e-08
2	CXCL12	3.628895723954169e-10
3	CXCL6	1.1184531002001313e-09
4	CCL8	6.351591008134018e-10
5	XCL2	1.9456166027996606e-11
6	CXCL17	9.262410244328516e-12
7	CXCL10	1.2594085660148515e-13
8	CCL26	2.1423271017239103e-15
9	CCL13	1.426667930878748e-17
10	CCL28	1.9842857680528328e-19
11	XCL1	6.542459058324482e-19
12	CXCL11	2.6669051865344927e-19
13	CCL21	2.2459124435435026e-21
14	CXCL14	1.211840679813235e-22
15	CXCL9	3.116720897464185e-22
16	PPBP	4.4592521051858286e-23
17	PF4V1	3.98314667753374e-17
18	CCL25	6.859233522746358e-13
19	CCL24	5.649814350223384e-12
20	CCL20	6.478439872639891e-12
21	VCAN	4.184902024290075e-12
22	CXCL5	4.284314070180471e-10
23	CXCL3	3.00648314817759e-10
24	CCL17	5.835445199858808e-10
25	CXCL1	3.400614597828383e-08
26	CXCR3	7.132749768725562e-08
27	CCL27	8.462879304176713e-08
28	THBS1	4.1045025269909094e-06
29	COL2A1	6.713111809211153e-07
30	CXCL13	5.159846612666669e-06
31	ACKR4	3.3442346479137915e-06
32	CCR3	8.236084328243909e-06
33	CCL7	9.75534065370006e-08
34	COL4A1	9.291653313356707e-06
35	BGN	1.502388192369286e-06
36	COL18A1	1.954713616110269e-07
37	COL4A2	5.235686929453692e-06
38	COLGALT2	8.685052116766881e-07
39	C1QTNF1	1.1290471861912653e-07
40	COL6A1	4.347573156738209e-08
41	LAIR2	4.128075430811306e-09
42	COL5A1	3.472557763608538e-08
43	COL8A2	1.7356310254890687e-09
44	COL12A1	2.6384504099227344e-09
45	C1QC	4.285830770725366e-09
46	COL6A2	9.504638377193819e-09
47	C1QTNF9	8.59793943536137e-10
48	COL14A1	9.582306304693752e-10
49	C1QTNF9B	3.081012570368121e-10
50	PLOD3	1.1341118812830248e-09
51	COLQ	2.1466452664258926e-10
52	COL21A1	3.0467301561283344e-10
53	PLOD1	6.101496328483379e-10
54	COL4A6	1.606120289096485e-10
55	COL9A1	1.5514441176586919e-09
56	MAG	2.840513279952232e-10
57	C1QTNF2	2.457743166523471e-09
58	COL1A1	9.830802165499993e-09
59	PDGFA	5.3528087975613056e-09
60	COL3A1	1.1630581508235195e-09
61	COL13A1	2.790741127622441e-07
62	PLOD2	8.592263842586479e-07
63	COLEC11	7.101616534410238e-08
64	COLEC10	9.983398882461422e-08
65	C1QB	7.045905880618829e-07
66	LEPREL2	6.608241093887235e-08
67	P3H4	2.257351621571815e-07
68	VHL	3.0721055883471033e-07
69	COLGALT1	4.868059666798082e-07
70	TGM2	9.768466718741283e-08
71	SPARC	6.688530025020755e-07
72	COL23A1	1.323168150737969e-06
73	C1QA	2.3364318434722427e-06
74	ITGAV	5.616610099764215e-07
75	DCN	6.728838840152801e-07
76	COL7A1	2.8131748175288696e-06
77	C1QTNF8	4.9948139543740485e-06
78	COL11A1	6.5727645867910695e-06
79	COLEC12	7.162340739879154e-06
80	SCARA3	3.3686578528430147e-06
81	NCR3	2.1489535723668066e-06
82	C1QL4	7.953464983604726e-07
83	PRG2	8.192535619825487e-07
84	COL10A1	4.5909579278470415e-06
85	C1QL1	2.77871953078731e-07
86	CRTAP	1.150918216669968e-06
87	P3H1	7.95016930489106e-07
88	TMEM106B	5.226287222245942e-07
89	COL8A1	5.684017988996566e-07
90	OS9	4.340823455176216e-06
91	LAMA5	6.3489551935626e-07
92	IL5RA	4.790680683725494e-07
93	VWA1	7.982588154031651e-07
94	LY86	1.0971096821653082e-06
95	METRNL	2.1259650985120636e-07
96	LYZL1	3.8920503036889714e-07
97	METRN	6.30905043487447e-08
98	GUSB	7.075591577082041e-08
99	SDF2L1	2.317262247176967e-08
100	BMP1	6.488871917144841e-09
