#rank	DIAMOnD_node	p_hyper
1	SDC1	2.793023347714902e-06
2	CCL5	9.397884422373725e-07
3	PF4	1.5408046886108916e-06
4	CXCL12	3.351913813857525e-08
5	CCL13	6.3428124798531906e-09
6	CCL26	1.3521277174596654e-09
7	CXCL17	9.262410244328516e-12
8	CXCL10	1.2594085660148515e-13
9	CCL28	6.681962880655994e-15
10	XCL1	9.806616182673902e-17
11	CXCL14	1.4017308160711815e-16
12	CCL21	3.571081775760162e-17
13	CXCL11	2.6669051865344927e-19
14	CXCL9	1.59930482351653e-20
15	CXCL2	2.0146560956795142e-19
16	CCL8	2.1675268738871913e-19
17	PPBP	1.0668445080076114e-20
18	XCL2	2.0920633407209263e-20
19	PF4V1	4.4928075953847446e-17
20	CXCL6	8.657170747266664e-15
21	CCL25	8.005838405903809e-13
22	CCL24	6.411978796997744e-12
23	CCL20	7.529986371054783e-12
24	VCAN	5.104075396680728e-12
25	CXCL5	4.956981053925543e-10
26	CXCL3	3.390142089146364e-10
27	CCL17	6.570114577867977e-10
28	CXCL1	3.8198376451778426e-08
29	CCL7	7.82024623606657e-08
30	CXCR3	8.181990432627865e-08
31	CCL27	9.368966358058932e-08
32	CXCL13	5.332762038182678e-06
33	ACKR4	3.4551844751832946e-06
34	SDC2	4.273271656476732e-05
35	S100A13	2.058726575412785e-05
36	REG3A	2.3484947969569837e-05
37	COL14A1	6.096378246406337e-05
38	ACKR1	7.239422708391811e-05
39	CD44	8.604183599218626e-05
40	FGFR2	0.00010626682485153078
41	FGF5	2.5419269697789184e-06
42	SDC4	2.638524994216116e-05
43	GMEB1	2.508436533241259e-05
44	GMEB2	3.7370923942455543e-06
45	METTL8	7.699333252635237e-05
46	DHRS2	0.00012202086715461295
47	THBS1	0.0001566057857423376
48	COL4A1	1.544538937718068e-05
49	BGN	2.4975726475411257e-06
50	COL18A1	4.6298682586622943e-07
51	C1QTNF1	5.749303228532649e-06
52	COL4A2	4.170296473878458e-07
53	LAIR2	2.669702169162841e-07
54	COL2A1	6.381908492564746e-08
55	COLGALT2	3.854075692915469e-09
56	COL6A1	7.182208267339236e-09
57	COL8A2	3.973438477309869e-09
58	COL5A1	1.9697582071337465e-09
59	C1QC	1.410213702354311e-10
60	MAG	3.3131388801838444e-10
61	COL9A1	1.9208867168929043e-09
62	COL6A2	1.2032797286006561e-09
63	C1QTNF9	2.148301719316343e-09
64	COL12A1	2.2586196785877843e-10
65	C1QTNF9B	8.597554582873739e-10
66	C1QTNF2	4.141313919669727e-09
67	PLOD3	4.7898132708873554e-09
68	COLQ	5.514287313610651e-10
69	COL21A1	5.962087659158981e-10
70	PLOD1	3.5962043285444075e-10
71	COL4A6	3.5451449224172144e-10
72	COL1A1	2.4419294988715906e-08
73	PDGFB	9.463667372910686e-08
74	COLEC12	3.0857564250081887e-07
75	COL13A1	4.1911849735937036e-07
76	VHL	6.127116882537896e-07
77	PLOD2	2.1293551176556658e-07
78	C1QB	7.762327815381754e-08
79	COLEC11	1.2578111986956197e-07
80	LEPREL2	1.4080889642141328e-07
81	COLEC10	1.8228502639209034e-07
82	P3H4	4.5765400354232146e-07
83	SPARC	1.0698308406176043e-06
84	COLGALT1	1.1527733538078217e-06
85	TGM2	2.753488507629952e-07
86	COL23A1	1.920147569083842e-06
87	COL7A1	3.7236058026132814e-06
88	C1QA	4.157112785588562e-06
89	DCN	1.0574485998889046e-06
90	ITGAV	1.3613654226981452e-06
91	SCARA3	5.302164573432459e-06
92	C1QTNF8	7.327293827474836e-06
93	COL11A1	9.61060976586649e-06
94	COL9A3	1.5746665390402294e-05
95	C1QL4	1.9573361560627446e-05
96	NCR3	4.333836650013403e-06
97	LYZL2	4.656022147990136e-06
98	DNAJB9	3.827734480561782e-06
99	OS9	6.873570505347499e-06
100	PRELP	3.2728369342092427e-06
