#rank	DIAMOnD_node	p_hyper
1	THBS1	1.7130160221226652e-08
2	COL2A1	1.74127605175275e-09
3	COL4A1	2.7808947225725705e-08
4	CXCL12	3.6275710250973295e-08
5	PF4	2.6791935120102047e-08
6	CXCL6	1.4833226300887213e-09
7	XCL2	3.3904790355707038e-09
8	CCL28	1.374819276950891e-10
9	CXCL17	1.2153538937234242e-11
10	CXCL10	1.7251435401316562e-13
11	CCL26	3.206480606889949e-15
12	CCL13	2.1262386195716073e-17
13	CCL8	1.6823110509435138e-19
14	XCL1	1.0093071279571752e-18
15	CXCL11	4.089753812485165e-19
16	CCL21	3.7490691529773296e-21
17	CXCL14	2.102595758023123e-22
18	CXCL9	5.864369877038284e-22
19	PPBP	7.296140077082323e-23
20	PF4V1	5.688881552934307e-17
21	CCL25	8.636378737792086e-13
22	CCL24	6.8227151417188476e-12
23	CCL20	8.106752819482581e-12
24	VCAN	5.626261167395782e-12
25	CXCL5	5.324826112133419e-10
26	CXCL3	3.5960992874992264e-10
27	CCL17	6.964141314344915e-10
28	CXCL1	4.044309367897981e-08
29	CCL7	8.181990432627865e-08
30	CXCR3	8.556094742170292e-08
31	CCL27	9.684774212825535e-08
32	CXCL8	4.389633252657668e-07
33	MAG	8.27211257772669e-07
34	COL5A1	2.133564103982088e-08
35	BGN	1.502388192369286e-06
36	COL6A1	5.972322442628276e-07
37	C1QTNF1	1.000445208718208e-07
38	COL18A1	1.0211159769031983e-08
39	LAIR2	3.5910042249808998e-09
40	COL4A2	6.973361910361734e-09
41	COL9A1	8.080638233284733e-10
42	COLGALT2	1.5976534209648777e-09
43	COL8A2	1.7356310254890687e-09
44	COL1A1	3.2387933668229958e-09
45	C1QC	4.285830770725366e-09
46	COL6A2	3.7081351260588565e-10
47	COLQ	9.771476744637217e-09
48	PLOD3	1.4067393432205552e-08
49	COL12A1	3.6595285713934483e-09
50	PLOD1	4.257371188947342e-10
51	COL4A6	1.3672262434058361e-10
52	COL21A1	3.0467301561283344e-10
53	COL14A1	5.794439473749007e-11
54	C1QTNF9	2.6564825549612532e-11
55	C1QTNF9B	1.2069114060529199e-11
56	C1QTNF2	2.296484390031858e-09
57	COLEC12	1.2923465246354094e-07
58	COL13A1	2.524851465295306e-07
59	SCARA3	1.144219138045017e-06
60	FBXO2	1.1622525084773956e-06
61	COL7A1	1.771229119119896e-06
62	ITGAV	2.935879787711145e-06
63	TGM2	5.514075458512808e-07
64	VHL	1.2039438028266238e-06
65	COLGALT1	3.7320372014312165e-07
66	PLOD2	1.0423613022393026e-07
67	C1QB	4.31867103837321e-08
68	COLEC11	8.657574028732253e-08
69	SPARC	6.113774534015081e-07
70	COL23A1	1.2453916351941565e-06
71	LEPREL2	1.466622290246409e-06
72	C1QA	1.0465788267310951e-07
73	ADIPOQ	3.089319486348471e-07
74	DCN	6.486925760447579e-07
75	PRELP	1.4712194210396253e-06
76	OS9	1.8035039609399374e-06
77	P3H4	3.76951415496726e-07
78	COLEC10	1.6974226584607524e-07
79	TMEM106B	2.5373809865822415e-07
80	LYZL1	1.911117189198139e-06
81	DNAJB9	1.4577542817532263e-06
82	LYZL2	1.6585628091274956e-07
83	AGRN	3.994077252403587e-07
84	LAMA5	4.4324703280637466e-07
85	NID2	7.159012447387475e-08
86	TMEM25	5.3490657564727175e-08
87	NCR3	2.5355079559567917e-07
88	C1QL4	6.030992453423422e-08
89	LY86	9.552585522141107e-08
90	METRNL	7.2966763746175354e-09
91	POGLUT1	9.735534483714183e-09
92	TAZ	1.2812661386388398e-09
93	GALNT18	8.616343170485545e-10
94	CFC1	2.8129588261437004e-10
95	GUSB	1.3439402142324397e-10
96	PRG2	6.902125755893511e-11
97	LAMC1	1.3172667329683997e-10
98	IL5RA	1.998407291992562e-11
99	PCSK6	1.0486002959651277e-11
100	NAGLU	1.2140258396235897e-11
